,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,69m,88k,480,670ms,3,0.6,98m,119k,72m,118k,11g,14g,400s,9s,7,false,0.5,false,false,0.6
1,50m,104k,860,590ms,2,0.7999999999999999,4m,61k,24m,40k,9g,6g,360s,7s,4,true,0.6,false,true,0.9999999999999999
2,49m,111k,620,450ms,4,0.7,88m,118k,28m,114k,6g,13g,220s,5s,1,false,0.6,false,false,0.8999999999999999
3,101m,55k,830,410ms,2,0.6,108m,36k,52m,50k,12g,12g,260s,7s,6,false,0.5,true,true,0.7
4,28m,112k,840,130ms,2,0.5,48m,108k,58m,120k,10g,9g,280s,8s,4,false,0.7,true,true,0.8999999999999999
5,56m,28k,230,990ms,1,0.7999999999999999,28m,52k,38m,112k,6g,9g,200s,5s,5,true,0.7,true,true,0.6
6,26m,52k,590,830ms,2,0.5,92m,41k,96m,50k,8g,8g,140s,6s,5,false,0.5,false,false,0.6
7,72m,78k,350,710ms,2,0.5,118m,36k,62m,62k,11g,14g,460s,7s,8,false,0.6,false,true,0.6
8,61m,52k,800,830ms,2,0.7999999999999999,18m,126k,92m,90k,10g,11g,480s,9s,7,true,0.7999999999999999,true,true,0.7
9,60m,69k,470,180ms,2,0.9999999999999999,16m,112k,26m,58k,8g,6g,460s,7s,7,true,0.8999999999999999,false,false,0.5
10,62m,97k,550,860ms,3,0.7999999999999999,62m,99k,70m,88k,8g,6g,440s,4s,7,true,0.8999999999999999,false,false,0.9999999999999999
11,43m,63k,560,480ms,2,0.7,84m,30k,80m,68k,10g,6g,240s,4s,5,true,0.5,true,false,0.9999999999999999
12,31m,72k,730,970ms,4,0.7,80m,117k,92m,78k,9g,8g,100s,3s,5,true,0.9999999999999999,false,true,0.8999999999999999
13,115m,27k,880,390ms,1,0.6,116m,113k,92m,128k,11g,9g,380s,3s,1,true,0.7999999999999999,false,false,0.7
14,25m,123k,690,490ms,3,0.6,114m,128k,88m,66k,8g,16g,500s,9s,3,false,0.5,false,false,0.5
15,57m,80k,520,540ms,1,0.8999999999999999,30m,88k,102m,108k,9g,10g,400s,1s,4,false,0.5,true,false,0.9999999999999999
