,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
0,69,88,480,670,3,0.6,98,119,72,118,11,14,400,9,7,0,0.5,0,0,0.6
1,50,104,860,590,2,0.7999999999999999,4,61,24,40,9,6,360,7,4,1,0.6,0,1,1.0
2,49,111,620,450,4,0.7,88,118,28,114,6,13,220,5,1,0,0.6,0,0,0.8999999999999999
3,101,55,830,410,2,0.6,108,36,52,50,12,12,260,7,6,0,0.5,1,1,0.7
4,28,112,840,130,2,0.5,48,108,58,120,10,9,280,8,4,0,0.7,1,1,0.8999999999999999
5,56,28,230,990,1,0.7999999999999999,28,52,38,112,6,9,200,5,5,1,0.7,1,1,0.6
6,26,52,590,830,2,0.5,92,41,96,50,8,8,140,6,5,0,0.5,0,0,0.6
7,72,78,350,710,2,0.5,118,36,62,62,11,14,460,7,8,0,0.6,0,1,0.6
8,61,52,800,830,2,0.7999999999999999,18,126,92,90,10,11,480,9,7,1,0.7999999999999999,1,1,0.7
9,60,69,470,180,2,1.0,16,112,26,58,8,6,460,7,7,1,0.8999999999999999,0,0,0.5
10,62,97,550,860,3,0.7999999999999999,62,99,70,88,8,6,440,4,7,1,0.8999999999999999,0,0,1.0
11,43,63,560,480,2,0.7,84,30,80,68,10,6,240,4,5,1,0.5,1,0,1.0
12,31,72,730,970,4,0.7,80,117,92,78,9,8,100,3,5,1,1.0,0,1,0.8999999999999999
13,115,27,880,390,1,0.6,116,113,92,128,11,9,380,3,1,1,0.7999999999999999,0,0,0.7
14,25,123,690,490,3,0.6,114,128,88,66,8,16,500,9,3,0,0.5,0,0,0.5
15,57,80,520,540,1,0.8999999999999999,30,88,102,108,9,10,400,1,4,0,0.5,1,0,1.0
16,47,79,900,870,4,0.7999999999999999,96,33,122,28,9,15,400,4,2,0,0.6,0,0,0.7
17,75,93,210,950,4,0.8999999999999999,100,26,94,38,7,15,320,1,4,0,0.7,0,0,0.5
18,75,47,640,600,2,0.7999999999999999,88,65,32,82,6,14,480,2,4,1,0.7999999999999999,0,1,0.5
19,42,32,180,120,5,0.5,42,38,128,36,10,8,440,10,4,0,1.0,0,1,0.7
20,46,30,780,720,2,0.8999999999999999,48,104,118,90,10,10,360,4,5,1,0.7,1,0,0.6
21,54,25,670,970,4,1.0,90,35,40,64,11,13,220,6,5,1,1.0,0,0,0.6
22,110,121,300,980,3,0.8999999999999999,70,45,58,78,9,14,400,10,7,1,0.6,1,0,0.8999999999999999
23,109,103,230,690,3,0.8999999999999999,78,31,114,88,11,8,180,3,3,1,0.7,1,1,1.0
24,67,38,450,620,2,0.6,70,39,120,58,6,10,80,6,3,1,1.0,1,0,0.5
25,101,62,570,790,3,0.6,42,24,38,114,10,11,220,5,8,0,0.7,0,1,0.8999999999999999
26,28,78,700,470,4,0.7,58,116,116,38,7,14,40,9,7,1,0.7,0,1,1.0
27,79,117,600,960,4,0.8999999999999999,98,24,84,92,10,9,500,3,7,1,0.8999999999999999,0,1,0.7
28,74,50,280,450,3,0.5,102,108,68,36,12,9,300,4,6,0,1.0,1,1,0.5
29,128,27,870,330,5,0.7999999999999999,76,116,120,104,12,13,160,8,4,0,0.7999999999999999,0,1,0.7
30,31,88,800,430,1,0.8999999999999999,10,28,114,104,8,7,500,4,5,0,0.6,1,0,0.7999999999999999
31,38,96,460,740,5,0.7999999999999999,62,43,34,24,7,8,100,2,8,0,0.5,0,0,0.7999999999999999
32,43,122,280,960,5,0.7999999999999999,16,77,26,32,11,9,120,2,1,0,1.0,0,1,0.8999999999999999
33,59,45,740,330,3,0.8999999999999999,44,99,64,28,8,13,480,3,5,0,0.6,0,1,0.7999999999999999
34,58,122,390,550,1,0.7999999999999999,80,107,62,102,10,13,460,4,3,0,1.0,1,1,0.7999999999999999
35,106,40,750,520,2,0.6,126,125,66,106,11,14,440,4,6,1,0.5,0,1,1.0
36,41,25,150,200,2,0.6,84,59,124,44,8,15,500,1,1,1,0.7999999999999999,1,1,0.7
37,61,74,290,840,3,0.6,62,38,104,96,10,12,240,1,8,0,0.5,1,1,0.8999999999999999
38,51,49,390,250,4,0.5,6,47,96,92,9,8,400,9,6,0,0.7,1,1,0.8999999999999999
39,79,33,430,800,2,0.5,80,89,54,64,10,11,460,1,8,1,0.6,0,1,0.7999999999999999
40,100,93,820,830,2,0.5,12,94,56,42,7,11,400,5,8,1,0.8999999999999999,1,0,0.6
41,64,59,360,610,4,0.7999999999999999,124,39,54,88,10,11,500,1,6,1,0.5,1,1,0.7999999999999999
42,81,75,820,120,1,0.7,42,124,110,50,10,8,60,4,2,1,1.0,0,0,0.6
43,68,65,530,310,5,0.7999999999999999,36,60,124,58,12,7,80,8,7,0,0.7999999999999999,1,0,0.5
44,125,43,620,290,4,0.7,116,26,26,62,8,15,80,2,1,1,1.0,1,0,0.6
45,61,57,770,940,3,0.7,78,45,52,108,8,16,400,2,3,1,0.6,0,0,0.7
46,29,65,790,430,3,0.7,36,72,92,48,11,6,200,2,7,0,0.6,1,1,0.8999999999999999
47,53,121,280,730,5,0.7,2,37,114,66,9,9,360,2,1,1,0.5,0,1,0.7999999999999999
48,48,97,120,800,4,0.7999999999999999,126,64,48,84,12,15,120,9,1,0,0.5,1,0,0.7
49,55,31,190,650,4,0.5,92,121,92,64,11,7,460,1,8,1,0.5,0,0,1.0
50,84,101,970,640,3,0.5,18,111,106,50,11,12,260,9,4,1,0.8999999999999999,0,0,1.0
51,40,90,870,930,5,0.5,78,63,80,92,12,9,20,3,6,1,1.0,0,1,0.5
52,88,44,220,990,1,0.7999999999999999,78,24,54,116,6,8,240,8,2,1,0.6,1,0,0.5
53,40,24,230,220,5,0.5,62,98,46,42,9,12,140,9,4,1,0.8999999999999999,0,1,0.8999999999999999
54,32,53,190,160,2,0.6,62,80,108,68,11,13,440,7,1,1,0.8999999999999999,1,0,0.7
55,38,99,940,360,3,0.7,120,43,36,66,9,12,200,7,8,1,0.6,1,1,0.8999999999999999
56,116,73,760,630,2,0.6,100,120,100,82,7,13,380,10,8,0,0.5,1,0,0.8999999999999999
57,95,61,620,920,5,1.0,78,82,64,100,6,11,160,4,5,0,0.5,0,1,0.6
58,68,73,940,640,1,0.5,44,65,74,76,9,12,20,9,8,1,0.7999999999999999,0,0,0.6
59,75,71,850,510,5,0.6,84,128,30,104,12,10,360,1,5,0,1.0,1,0,0.5
60,95,95,300,380,2,0.8999999999999999,86,117,40,126,12,16,360,7,3,1,0.8999999999999999,0,0,1.0
61,125,93,120,300,5,0.7,2,114,24,84,7,15,280,8,1,0,1.0,0,0,1.0
62,94,103,450,990,4,1.0,38,93,42,112,7,13,260,6,1,0,0.7999999999999999,1,0,0.6
63,116,73,840,350,5,0.7,92,108,118,96,12,15,60,5,2,1,1.0,1,0,0.5
64,106,53,580,160,1,1.0,50,59,104,54,10,15,260,1,3,0,0.6,0,1,1.0
65,56,80,510,230,3,0.7999999999999999,104,33,88,54,10,12,120,5,3,1,0.7,1,0,1.0
66,93,100,850,700,2,0.8999999999999999,126,100,72,100,12,14,240,2,4,0,0.7999999999999999,1,0,0.5
67,27,109,460,120,1,1.0,32,64,48,52,12,8,400,8,8,1,0.8999999999999999,1,1,1.0
68,78,118,720,980,3,1.0,40,77,64,92,6,15,400,8,7,1,0.7,0,1,0.6
69,64,128,580,800,5,0.7999999999999999,94,86,86,36,10,12,440,5,2,1,0.5,1,0,1.0
70,85,102,670,950,2,0.6,78,94,66,32,9,8,380,5,4,0,0.7,1,1,1.0
71,40,73,400,830,2,0.7,44,96,38,52,11,15,120,9,2,1,0.6,1,0,1.0
72,105,44,160,720,1,0.7,38,24,38,40,10,16,100,10,8,0,0.6,1,0,0.7999999999999999
73,117,75,670,560,5,0.6,102,55,108,76,6,8,120,4,3,0,0.8999999999999999,0,0,0.8999999999999999
74,37,51,230,730,3,0.5,92,103,72,116,9,12,180,7,1,0,0.6,1,0,0.7999999999999999
75,100,38,700,760,3,0.5,118,62,32,36,10,8,360,2,6,1,0.7,1,1,0.7
76,127,121,860,840,4,0.8999999999999999,78,68,118,32,9,10,320,10,4,0,0.7,1,1,0.5
77,69,93,840,290,1,0.8999999999999999,80,91,92,42,12,15,100,1,1,1,0.8999999999999999,1,1,1.0
78,41,56,620,520,1,0.5,8,96,90,56,6,8,40,1,3,0,0.7999999999999999,0,0,1.0
79,70,126,840,410,3,0.5,40,117,42,68,9,9,320,5,7,0,0.6,1,0,1.0
80,36,64,180,100,1,0.7,14,80,78,112,7,16,80,2,2,1,0.5,0,0,0.8999999999999999
81,79,100,160,570,2,0.8999999999999999,70,102,44,34,9,8,180,2,2,1,0.5,0,0,0.7999999999999999
82,104,87,260,730,5,1.0,86,36,78,120,9,12,140,10,7,0,0.7,1,1,1.0
83,45,121,100,460,5,0.8999999999999999,38,36,62,82,8,6,200,9,2,1,0.8999999999999999,1,1,0.5
84,111,94,150,850,2,0.7,4,24,70,106,12,8,460,8,8,0,0.5,0,1,0.7
