,sky,has,stg
opt,36941.0,39124.0,47954.0
de,15142.0,17988.0,22981.0
rnd,21447.0,22074.0,31732.0
nn,21909.0,23719.0,30479.0
dac,15823.0,21601.0,24399.0
bo,22378.0,35981.0,47311.0
ex,33059.0,34786.0,28921.0
hi,31810.0,23005.0,47311.0
n-de,0.5901031374353699,0.5402310602187915,0.5207699044918046
n-rnd,0.41942557050431767,0.4357938861057152,0.3382825207490512
n-nn,0.40691914133347773,0.39374808301809633,0.3644117279059098
n-dac,0.5716683359952357,0.4478836519783253,0.49119989990407475
n-bo,0.3942232208115644,0.08033432164400368,0.013408683321516453
n-ex,0.10508648926666847,0.11087823330947756,0.3969011969804396
n-hi,0.1388971603367532,0.411997750741233,0.013408683321516453
