,sky,has,stg
opt,80658361.0,66504951.0,66700130.0
de,15214675.0,15032080.0,14270903.0
rnd,16181887.0,17664534.0,15285017.0
nn,68722851.0,47596291.0,45786920.0
dac,21557708.0,14622924.0,29622150.0
bo,75694430.0,55362748.0,54781903.0
ex,76414908.0,49049776.0,47782892.0
hi,75694430.0,49049776.0,54781903.0
n-de,0.8113689044586463,0.7739705123608015,0.7860438502893473
n-rnd,0.7993774383786449,0.7343876849108573,0.7708397719764564
n-nn,0.14797610380404333,0.2843195839660118,0.3135407682113963
n-dac,0.7327281668914646,0.7801227761223372,0.5558906706778532
n-bo,0.061542671317112434,0.1675394513109257,0.17868371470940161
n-ex,0.05261020615085397,0.2624642938237786,0.28361620884397076
n-hi,0.061542671317112434,0.2624642938237786,0.17868371470940161
