,sky,has,stg
opt,129249968.0,126192854.0,128269201.0
de,17796726.0,15989937.0,18395476.0
rnd,116365115.0,119386867.0,109342405.0
nn,112455347.0,105731662.0,71438116.0
dac,69613507.0,106779601.0,16229207.0
bo,113165100.0,114481154.0,109299556.0
ex,119834265.0,119452200.0,118440514.0
hi,123449801.0,113244231.0,117426592.0
n-de,0.8623076951167988,0.8732896793030769,0.8565869604192826
n-rnd,0.09968940959428323,0.053933220339085125,0.14755526542961783
n-nn,0.12993907278955769,0.16214223984505494,0.44306103536109187
n-dac,0.4614040678137731,0.1538379740583409,0.8734754183118362
n-bo,0.12444775228106826,0.09280794933126721,0.14788932067956048
n-ex,0.07284878399350939,0.053415496887010736,0.07662546366060236
n-hi,0.044875577841535716,0.10260979595564104,0.08453010477550257
