,sky,has,stg
opt,312610952.0,332945276.0,350524491.0
de,246235796.0,294697032.0,317405599.0
rnd,281668234.0,305739070.0,330670546.0
nn,258329247.0,308687638.0,317867910.0
dac,245887742.0,303075703.0,319050800.0
bo,312610952.0,327030764.0,336747002.0
ex,242064497.0,320379291.0,328220129.0
hi,258440490.0,320781713.0,323208933.0
n-de,0.21232511393266862,0.11487847029852437,0.0944838173946596
n-rnd,0.0989815545553887,0.08171374685610497,0.056640678496841464
n-nn,0.17363980581204974,0.07285773293266369,0.09316490527333794
n-dac,0.21343849143199564,0.08971316054954329,0.08979027659439637
n-bo,0.0,0.017764216603571813,0.03930535341680305
n-ex,0.22566853319969415,0.03774189305512177,0.06363139401862793
n-hi,0.1732839545557572,0.03653321995173765,0.07792767324780167
