,sky,has,stg
opt,26331630.0,26960568.0,26226324.0
de,14227947.0,22168474.0,21392671.0
rnd,18774763.0,26106515.0,21679969.0
nn,18516313.0,24264249.0,23591968.0
dac,16792889.0,23938705.0,22792700.0
bo,14771288.0,26433592.0,25041009.0
ex,23019077.0,26433592.0,25041009.0
hi,21363881.0,26106515.0,24952913.0
n-de,0.45966326429469045,0.17774454900208334,0.18430539483917
n-rnd,0.2869881963251041,0.03167785634189903,0.173350828732231
n-nn,0.29680338816852586,0.10000972531439249,0.10044701651668758
n-dac,0.3622541027653814,0.1120845451030557,0.13092280870166936
n-bo,0.4390287270480407,0.019546175733389595,0.04519562101040161
n-ex,0.12580128917199582,0.019546175733389595,0.04519562101040161
n-hi,0.18866089945818015,0.03167785634189903,0.04855468879283273
