,sky,has,stg
opt,830689.0,846771.0,799886.0
de,317952.0,336578.0,319121.0
rnd,592066.0,544279.0,506176.0
nn,562898.0,547741.0,497260.0
dac,525702.0,513516.0,546173.0
bo,586668.0,702515.0,753765.0
ex,578979.0,762963.0,731686.0
hi,764228.0,544735.0,731686.0
n-de,0.6172430356005677,0.6025159104409574,0.601041898470532
n-rnd,0.287259130673453,0.3572299948864569,0.3671898245499984
n-nn,0.3223721513105386,0.3531415223242175,0.3783364129388438
n-dac,0.367149438598561,0.39355976999684683,0.31718644906899235
n-bo,0.2937573508256399,0.17036010916764982,0.05765946647397254
n-ex,0.30301352250962754,0.0989736304148347,0.08526214985635452
n-hi,0.08000707846137363,0.3566914785697668,0.08526214985635452
