,sky,has,stg
opt,1176755.0,1283361.0,977296.0
de,656760.0,619386.0,580487.0
rnd,789301.0,846541.0,914533.0
nn,831485.0,842115.0,746631.0
dac,649177.0,736746.0,591979.0
bo,853920.0,872664.0,789367.0
ex,808853.0,859910.0,889263.0
hi,885575.0,1223184.0,882429.0
n-de,0.44188892335277946,0.5173719631498853,0.40602744716032807
n-rnd,0.32925630228892167,0.3403718828918753,0.06422107529346278
n-nn,0.29340856847857033,0.34382063971088417,0.236023681668604
n-dac,0.4483329155176736,0.42592458396351457,0.39426847137407706
n-bo,0.27434342747640755,0.32001673730150754,0.19229486255955208
n-ex,0.31264111900947944,0.32995470487259626,0.09007813395327516
n-hi,0.24744318061108728,0.04689015795243895,0.09707089766048362
