,sky,has,stg
opt,25023459.0,21674342.0,23606479.0
de,16722757.0,14099649.0,15044380.0
rnd,17755287.0,18730976.0,18654976.0
nn,20792722.0,16599576.0,18693772.0
dac,17341541.0,17874298.0,18524092.0
bo,22711142.0,17080877.0,20976453.0
ex,19538405.0,14733507.0,21261893.0
hi,21984061.0,19815223.0,22141651.0
n-de,0.3317168102139676,0.3494774143547241,0.36270123130179643
n-rnd,0.29045432927558096,0.13579955506838454,0.2097518651553245
n-nn,0.16907083069530876,0.23413702708944983,0.20810841803218516
n-dac,0.3069886541265138,0.17532453811054563,0.2152962752302027
n-bo,0.09240596993405269,0.21193100118102778,0.11141119351174734
n-ex,0.2191964747959105,0.3202327895352025,0.09931959781041468
n-hi,0.12146194496931859,0.08577510680601054,0.06205194768775132
