,sky,has,stg
opt,420021917.0,326336917.0,379600098.0
de,259274752.0,200916683.0,305982656.0
rnd,344315480.0,271587688.0,361328252.0
nn,323712740.0,229617461.0,366717358.0
dac,361917435.0,281714813.0,365688583.0
bo,270879985.0,326336917.0,377923079.0
ex,347579825.0,260227787.0,365753731.0
hi,325857809.0,245376733.0,357241540.0
n-de,0.382711374082891,0.384327446471525,0.193934201776734
n-rnd,0.18024401569501908,0.16776903300830043,0.0481344607029053
n-nn,0.22929559887704623,0.2963791436443582,0.03393766247130948
n-dac,0.13833678588729453,0.13673630433911343,0.036647817198403355
n-bo,0.35508130876894217,0.0,0.004417857131322448
n-ex,0.17247217125576805,0.20257937902869874,0.03647619448190975
n-hi,0.22418855823659317,0.24808772707747312,0.058900295647447386
