,stg,sky
opt,126192854.0,126192854.0
de,24522569.0,24522569.0
rnd,111742004.0,111742004.0
nn,109813564.0,109839992.0
dac,111076962.0,112821783.0
bo,115029362.0,115822833.0
ex,113244231.0,115753401.0
hi,119452200.0,113121753.0
n-de,0.8056738696154697,0.8056738696154697
n-rnd,0.11451401202163158,0.11451401202163158
n-nn,0.12979570142696037,0.12958627593920652
n-dac,0.1197840568690205,0.10595743400810953
n-bo,0.08846374137793889,0.08217597646218541
n-ex,0.10260979595564104,0.08272618194370975
n-hi,0.053415496887010736,0.10358035804467977
