,stg,sky
opt,332945276.0,332945276.0
de,299767991.0,299767991.0
rnd,317388813.0,317388813.0
nn,312733127.0,314182026.0
dac,311815091.0,309180623.0
bo,315652715.0,315652715.0
ex,317413993.0,320987595.0
hi,315652715.0,317413993.0
n-de,0.09964786225109258,0.09964786225109258
n-rnd,0.04672378352050864,0.04672378352050864
n-nn,0.06070712052992156,0.056355357329052475
n-dac,0.0634644385223234,0.07137705416790475
n-bo,0.05193814793756077,0.05193814793756077
n-ex,0.046648155476457336,0.035914854067489455
n-hi,0.05193814793756077,0.046648155476457336
