,stg,sky
opt,26960568.0,26960568.0
de,22725369.0,22725369.0
rnd,24410239.0,24410239.0
nn,24828394.0,24834868.0
dac,24111854.0,23724046.0
bo,26433592.0,26433592.0
ex,25945319.0,26092211.0
hi,26433592.0,26433592.0
n-de,0.15708864145592186,0.15708864145592186
n-rnd,0.09459478005062802,0.09459478005062802
n-nn,0.07908490651977362,0.07884477804770285
n-dac,0.10566223975696655,0.12004650643858839
n-bo,0.019546175733389595,0.019546175733389595
n-ex,0.037656810494497,0.03220840896230376
n-hi,0.019546175733389595,0.019546175733389595
