,stg,sky
opt,1283361.0,1283361.0
de,646823.0,646823.0
rnd,1065725.0,1065725.0
nn,882614.0,864074.0
dac,824486.0,898917.0
bo,1063875.0,1063875.0
ex,1070648.0,1050758.0
hi,1127801.0,1127801.0
n-de,0.4959929435287499,0.4959929435287499
n-rnd,0.16958283756480055,0.16958283756480055
n-nn,0.3122636576925744,0.3267100994965563
n-dac,0.3575572266883597,0.2995602951936361
n-bo,0.17102436492927556,0.17102436492927556
n-ex,0.16574681636733546,0.1812451835453937
n-hi,0.12121297125282754,0.12121297125282754
