,stg,sky
opt,21674342.0,21674342.0
de,15097188.0,15097188.0
rnd,18908506.0,18908506.0
nn,17897892.0,18476177.0
dac,18492834.0,17487485.0
bo,19688915.0,19688915.0
ex,19694246.0,20189783.0
hi,19275715.0,20189783.0
n-de,0.30345345662627266,0.30345345662627266
n-rnd,0.12760876431681295,0.12760876431681295
n-nn,0.17423596988549872,0.14755534447135696
n-dac,0.1467868320985246,0.19317112371854242
n-bo,0.09160264242393149,0.09160264242393149
n-ex,0.09135668340012353,0.06849384401150448
n-hi,0.11066665830039961,0.06849384401150448
