,stg,sky
opt,326336917.0,326336917.0
de,232734470.0,232734470.0
rnd,305618269.0,305618269.0
nn,281299874.0,293536423.0
dac,304158093.0,283162144.0
bo,276246922.0,294896169.0
ex,324121582.0,326336917.0
hi,301721968.0,301522562.0
n-de,0.2868276377079336,0.2868276377079336
n-rnd,0.06348852036253073,0.06348852036253073
n-nn,0.1380078092727707,0.10051113524492848
n-dac,0.06796296356504465,0.13230122229781316
n-bo,0.15349165966411332,0.09634444147181791
n-ex,0.006788490313524657,0.0
n-hi,0.07542802458969115,0.07603906793052163
