,has,stg
opt,80658361.0,80658361.0
de,23746972.0,23746972.0
rnd,71697277.0,71697277.0
nn,68550616.0,68478774.0
dac,45297569.0,70652834.0
bo,67812503.0,74768129.0
ex,73688369.0,78461645.0
hi,69606443.0,75694430.0
n-de,0.7055857358668619,0.7055857358668619
n-rnd,0.11109925727352679,0.11109925727352679
n-nn,0.15011146829527072,0.1510021633095173
n-dac,0.4384020647282927,0.12404823103211829
n-bo,0.1592625716756134,0.07302692401597399
n-ex,0.08641375690735893,0.027234820702592755
n-hi,0.13702135603772062,0.061542671317112434
