,has,stg
opt,129249968.0,129249968.0
de,26715498.0,26715498.0
rnd,101198478.0,101198478.0
nn,93447306.0,115780096.0
dac,99693332.0,99693332.0
bo,117303127.0,117303127.0
ex,113073345.0,113073345.0
hi,114348173.0,110907648.0
n-de,0.7933036393479029,0.7933036393479029
n-rnd,0.21703285837564,0.21703285837564
n-nn,0.2770032562019667,0.10421566990252562
n-dac,0.2286780914328737,0.2286780914328737
n-bo,0.09243206156925315,0.09243206156925315
n-ex,0.12515765574502888,0.12515765574502888
n-hi,0.11529438057578474,0.1419135361023842
