,has,stg
opt,312610952.0,312610952.0
de,253244090.0,253244090.0
rnd,274041327.0,274041327.0
nn,260510258.0,271893493.0
dac,264511660.0,266858092.0
bo,304289665.0,304289665.0
ex,272078387.0,282703145.0
hi,274197833.0,274010047.0
n-de,0.1899065327692038,0.1899065327692038
n-rnd,0.12337899473208476,0.12337899473208476
n-nn,0.16666304768490645,0.13024962413984778
n-dac,0.15386310585817223,0.14635718840714193
n-bo,0.026618667537917865,0.026618667537917865
n-ex,0.1296581733323278,0.09567101475062845
n-hi,0.12287835328302893,0.12347905520597371
