,has,stg
opt,26331630.0,26331630.0
de,15050835.0,15050835.0
rnd,20581069.0,20581069.0
nn,19635693.0,18892694.0
dac,19223160.0,18509630.0
bo,18580989.0,18580989.0
ex,22708856.0,22708856.0
hi,20114145.0,22295489.0
n-de,0.42841233148118824,0.42841233148118824
n-rnd,0.21838986040742636,0.21838986040742636
n-nn,0.2542925371501878,0.28250951422300863
n-dac,0.26995936066244286,0.2970571893954153
n-bo,0.29434717865927784,0.29434717865927784
n-ex,0.1375825955324452,0.1375825955324452
n-hi,0.23612229854361466,0.15328109197949386
