,has,stg
opt,25023459.0,25023459.0
de,18020859.0,18020859.0
rnd,22801117.0,22801117.0
nn,20501781.0,20268044.0
dac,20180616.0,22056188.0
bo,22395162.0,21122669.0
ex,22353237.0,22733731.0
hi,23309344.0,22828444.0
n-de,0.27984140801637375,0.27984140801637375
n-rnd,0.0888103439256739,0.0888103439256739
n-nn,0.18069756063700065,0.19003827568362952
n-dac,0.19353211720250185,0.11857956967499977
n-bo,0.10503332093296934,0.15588532344788944
n-ex,0.1067087487784962,0.09150325700375796
n-hi,0.0685003220378126,0.08771828866664677
