,has,sky
opt,66700130.0,66700130.0
de,19113040.0,19113040.0
rnd,51019512.0,51019512.0
nn,45718841.0,48664173.0
dac,55716809.0,44595524.0
bo,54393639.0,51983516.0
ex,54781903.0,47782892.0
hi,51983516.0,51983516.0
n-de,0.7134482346586131,0.7134482346586131
n-rnd,0.23509126593906188,0.23509126593906188
n-nn,0.3145614408847479,0.2704036258999795
n-dac,0.16466716031887793,0.33140274239345563
n-bo,0.1845047528393123,0.2206384605247396
n-ex,0.17868371470940161,0.28361620884397076
n-hi,0.2206384605247396,0.2206384605247396
