,has,sky
opt,128269201.0,128269201.0
de,37331532.0,37331532.0
rnd,117862159.0,117862159.0
nn,120724679.0,120724679.0
dac,112536011.0,117732254.0
bo,124598727.0,120533384.0
ex,120678249.0,124032327.0
hi,116519055.0,121196807.0
n-de,0.7089595030688621,0.7089595030688621
n-rnd,0.08113437924977797,0.08113437924977797
n-nn,0.0588178763193512,0.0588178763193512
n-dac,0.12265758169024535,0.08214713210850982
n-bo,0.028615396146421775,0.06030923198780976
n-ex,0.05917984941685261,0.033031109315166
n-hi,0.09160535739206795,0.05513711744411661
