,has,sky
opt,350524491.0,350524491.0
de,321986430.0,321986430.0
rnd,333880671.0,333880671.0
nn,332576269.0,332373664.0
dac,328399730.0,334681300.0
bo,335598337.0,329210371.0
ex,338647165.0,338647165.0
hi,331135790.0,332954511.0
n-de,0.08141531257512047,0.08141531257512047
n-rnd,0.047482616557026826,0.047482616557026826
n-nn,0.05120390289647407,0.0517819081577384
n-dac,0.06311901612603725,0.045198527939663995
n-bo,0.042582342698559116,0.060806364597217256
n-ex,0.03388443976087251,0.03388443976087251
n-hi,0.05531339891454261,0.050124828510199594
