,has,sky
opt,26226324.0,26226324.0
de,21962300.0,21962300.0
rnd,23122326.0,23122326.0
nn,23928395.0,24054149.0
dac,23561120.0,22979671.0
bo,26158754.0,26158754.0
ex,25041009.0,25041009.0
hi,24740254.0,26158754.0
n-de,0.16258565249174836,0.16258565249174836
n-rnd,0.11835429166512242,0.11835429166512242
n-nn,0.0876191798743888,0.08282422652904006
n-dac,0.10162323930719379,0.12379367386752334
n-bo,0.002576419020828081,0.002576419020828081
n-ex,0.04519562101040161,0.04519562101040161
n-hi,0.05666329753266222,0.002576419020828081
