,has,sky
opt,23606479.0,23606479.0
de,16832891.0,16832891.0
rnd,20160274.0,20160274.0
nn,18792576.0,20222446.0
dac,19471826.0,19230769.0
bo,18628912.0,20774364.0
ex,20184689.0,22454249.0
hi,20699648.0,21393234.0
n-de,0.2869376665617943,0.2869376665617943
n-rnd,0.1459855576089937,0.1459855576089937
n-nn,0.2039229569136507,0.1433518738647979
n-dac,0.17514907665814966,0.18536055292278023
n-bo,0.21085596882110202,0.11997193651793646
n-ex,0.14495130764736242,0.04880990511121968
n-hi,0.12313699980416393,0.09375582864348385
