,has,sky
opt,379600098.0,379600098.0
de,341793337.0,341793337.0
rnd,370673370.0,370673370.0
nn,367587329.0,364714150.0
dac,365135766.0,364067408.0
bo,374955187.0,374955187.0
ex,365867794.0,367061570.0
hi,367933177.0,374835388.0
n-de,0.09959628882919835,0.09959628882919835
n-rnd,0.023516137237667416,0.023516137237667416
n-nn,0.03164585326318857,0.039214816008819896
n-dac,0.0381041313640546,0.040918561617441944
n-bo,0.012236327188724803,0.012236327188724803
n-ex,0.03617571247307739,0.03303088715219457
n-hi,0.030734768145397055,0.012551919836437976
